"pu","do_loc","tipo_taxi","ano","volume","avg_speed"
"234","170","yellow","2022","59572","8.51"
"262","236","yellow","2022","59274","8.53"
"186","170","yellow","2022","58826","6.67"
"239","239","yellow","2022","58801","13.81"
"163","237","yellow","2022","58783","8.49"
"68","48","yellow","2022","58483","10.41"
"236","75","yellow","2022","58345","11.42"
"236","262","yellow","2022","57936","8.13"
"132","48","yellow","2022","57286","33.05"
"236","263","yellow","2022","57130","8.81"
"236","140","yellow","2022","56930","8.41"
"132","265","yellow","2022","56775","68.02"
"237","239","yellow","2022","56586","10.76"
"141","141","yellow","2022","55347","17.84"
"142","161","yellow","2022","55285","9.01"
"161","186","yellow","2022","54847","7.38"
"48","48","yellow","2022","54788","25.69"
"162","141","yellow","2022","54725","10.86"
"237","229","yellow","2022","54464","8.23"
"140","237","yellow","2022","53647","7.51"
"239","143","yellow","2022","53551","9.14"
"48","142","yellow","2022","53045","11.21"
"170","237","yellow","2022","52424","10.27"
"229","237","yellow","2022","52288","9.05"
"162","170","yellow","2022","52088","9.49"
"163","161","yellow","2022","51881","7.9"
"237","262","yellow","2022","51681","9.95"
"141","229","yellow","2022","51661","10.23"
"237","163","yellow","2022","51292","7.65"
"161","170","yellow","2022","50747","8.06"
"263","237","yellow","2022","50697","9.57"
"237","170","yellow","2022","50508","9.8"
"142","163","yellow","2022","50237","8.76"
"161","161","yellow","2022","50181","19.02"
"164","161","yellow","2022","50149","8.64"
"140","263","yellow","2022","50021","12.49"
"79","170","yellow","2022","49927","12.05"
"239","237","yellow","2022","49725","10.07"
"170","234","yellow","2022","49218","9.32"
"142","142","yellow","2022","48943","17.62"
"239","151","yellow","2022","48889","12.48"
"170","161","yellow","2022","48860","8.06"
"43","161","yellow","2022","48681","8.7"
"79","107","yellow","2022","48091","11.42"
"161","141","yellow","2022","47760","9.47"
"234","161","yellow","2022","46707","9.11"
"229","141","yellow","2022","46643","11.86"
"230","138","yellow","2022","46541","32.79"
"48","239","yellow","2022","46477","13.07"
"142","230","yellow","2022","46406","8.54"
"186","48","yellow","2022","46360","7.77"
"48","246","yellow","2022","46309","11.17"
"74","75","green","2023","23465","10.38"
"75","74","green","2023","16995","13.14"
"74","236","green","2023","15194","10.82"
"95","95","green","2023","11155","10.19"
"74","41","green","2023","11084","9.0"
"74","166","green","2023","11044","9.04"
"74","238","green","2023","8749","10.86"
"74","263","green","2023","8484","11.72"
"74","42","green","2023","8420","9.76"
"74","74","green","2023","7635","23.6"
"75","75","green","2023","7142","25.16"
"75","236","green","2023","7107","9.32"
"82","138","green","2023","6294","20.12"
"74","151","green","2023","6032","10.11"
"75","238","green","2023","5758","10.71"
"74","239","green","2023","5546","11.2"
"74","43","green","2023","5484","9.89"
"41","42","green","2023","5249","10.48"
"75","263","green","2023","5097","9.48"
"41","74","green","2023","4837","8.55"
"75","41","green","2023","4760","11.48"
"82","129","green","2023","4719","9.03"
"74","262","green","2023","4439","11.43"
"41","41","green","2023","4095","21.44"
"166","166","green","2023","3703","25.81"
"43","236","green","2023","3673","9.75"
"74","152","green","2023","3650","8.65"
"166","238","green","2023","3634","10.77"
"75","237","green","2023","3627","9.3"
"74","116","green","2023","3611","10.08"
"129","129","green","2023","3555","28.84"
"82","82","green","2023","3509","22.37"
"75","42","green","2023","3452","12.5"
"7","7","green","2023","3439","11.24"
"74","140","green","2023","3326","12.89"
"74","244","green","2023","3201","11.89"
"43","238","green","2023","3160","11.88"
"42","42","green","2023","3066","19.91"
"74","24","green","2023","3010","9.62"
"75","151","green","2023","2876","10.39"
"166","239","green","2023","2871","11.02"
"97","49","green","2023","2870","7.8"
"41","166","green","2023","2859","9.36"
"75","262","green","2023","2856","9.06"
"75","166","green","2023","2836","9.93"
"75","239","green","2023","2830","11.25"
"74","138","green","2023","2819","26.16"
"74","237","green","2023","2816","10.3"
"75","141","green","2023","2810","9.78"
"74","141","green","2023","2799","11.9"
"95","135","green","2023","2742","11.06"
"166","151","green","2023","2673","10.87"
"166","41","green","2023","2666","8.95"
"42","41","green","2023","2649","9.96"
"95","28","green","2023","2606","11.86"
"95","196","green","2023","2587","9.06"
"166","74","green","2023","2493","8.53"
"41","75","green","2023","2479","9.67"
"95","121","green","2023","2442","11.47"
"75","142","green","2023","2297","10.84"
"97","97","green","2023","2287","15.71"
"43","237","green","2023","2170","9.51"
"95","134","green","2023","2132","9.36"
"97","181","green","2023","2069","7.78"
"65","49","green","2023","2049","7.72"
"130","130","green","2023","1964","15.61"
"74","142","green","2023","1927","11.15"
"43","239","green","2023","1899","11.81"
"7","223","green","2023","1844","9.06"
"134","134","green","2023","1826","10.56"
"75","140","green","2023","1824","9.85"
"7","179","green","2023","1784","8.96"
"260","7","green","2023","1779","10.02"
"166","42","green","2023","1741","9.74"
"65","97","green","2023","1716","7.19"
"43","263","green","2023","1708","8.84"
"65","181","green","2023","1696","7.99"
"97","61","green","2023","1662","9.2"
"43","43","green","2023","1632","22.82"
"75","43","green","2023","1613","10.92"
"42","74","green","2023","1601","10.04"
"166","236","green","2023","1557","10.48"
"41","238","green","2023","1557","10.51"
"223","223","green","2023","1553","14.39"
"41","151","green","2023","1468","10.0"
"55","55","green","2023","1468","9.53"
"166","142","green","2023","1464","11.13"
"166","152","green","2023","1432","10.58"
"43","142","green","2023","1424","11.19"
"41","116","green","2023","1404","10.47"
"82","56","green","2023","1385","8.35"
"244","238","green","2023","1354","19.5"
"166","116","green","2023","1337","11.58"
"260","138","green","2023","1320","18.87"
"74","243","green","2023","1315","15.3"
"166","75","green","2023","1310","9.11"
"130","10","green","2023","1307","12.63"
"75","161","green","2023","1306","9.05"
"244","244","green","2023","1291","64.49"
"43","151","green","2023","1287","12.01"
"237","236","yellow","2023","255765","9.89"
"264","264","yellow","2023","248435","16.07"
"236","237","yellow","2023","218867","8.5"
"237","237","yellow","2023","167172","9.53"
"236","236","yellow","2023","161724","10.27"
"161","237","yellow","2023","120028","7.78"
"237","161","yellow","2023","117105","7.33"
"161","236","yellow","2023","103798","9.87"
"142","239","yellow","2023","97774","10.32"
"239","142","yellow","2023","94251","9.45"
"237","162","yellow","2023","92306","7.95"
"239","238","yellow","2023","92128","10.76"
"132","230","yellow","2023","90712","20.52"
"236","161","yellow","2023","88887","8.95"
"141","236","yellow","2023","85817","9.7"
"162","237","yellow","2023","79980","8.32"
"186","230","yellow","2023","79060","5.8"
"238","239","yellow","2023","76764","10.1"
"138","230","yellow","2023","76608","16.93"
"142","238","yellow","2023","76357","11.98"
"236","239","yellow","2023","75585","10.43"
"236","141","yellow","2023","75196","8.39"
"186","161","yellow","2023","74138","6.62"
"237","141","yellow","2023","73963","7.93"
"142","237","yellow","2023","72744","9.29"
"132","265","yellow","2023","72115","30.83"
"237","142","yellow","2023","71738","8.3"
"161","234","yellow","2023","71565","8.27"
"239","236","yellow","2023","71224","10.29"
"48","68","yellow","2023","70865","10.67"
"263","141","yellow","2023","70432","11.76"
"263","236","yellow","2023","70013","8.82"
"141","237","yellow","2023","69372","7.54"
"161","164","yellow","2023","68885","7.1"
"236","238","yellow","2023","68523","10.37"
"237","263","yellow","2023","68058","10.42"
"142","236","yellow","2023","67675","11.21"
"162","236","yellow","2023","67467","9.91"
"236","162","yellow","2023","66997","9.23"
"140","236","yellow","2023","66335","8.98"
"107","170","yellow","2023","65026","9.33"
"163","236","yellow","2023","64787","9.96"
"230","186","yellow","2023","63763","7.41"
"236","142","yellow","2023","62984","10.19"
"161","161","yellow","2023","62872","12.7"
"163","237","yellow","2023","62507","8.01"
"262","236","yellow","2023","62491","8.52"
"234","170","yellow","2023","61773","7.99"
"237","140","yellow","2023","61558","7.38"
"186","170","yellow","2023","60094","6.03"
"239","239","yellow","2023","58970","12.39"
"236","262","yellow","2023","58831","8.06"
"163","161","yellow","2023","58639","6.59"
"238","142","yellow","2023","58505","10.47"
"162","141","yellow","2023","57613","9.71"
"236","263","yellow","2023","57562","8.6"
"142","161","yellow","2023","57468","8.23"
"141","263","yellow","2023","56878","12.14"
"142","48","yellow","2023","56696","9.25"
"238","236","yellow","2023","56428","10.21"
"236","140","yellow","2023","56375","8.25"
"236","75","yellow","2023","55966","10.98"
"164","161","yellow","2023","55317","7.04"
"161","170","yellow","2023","55312","7.02"
"161","141","yellow","2023","55181","8.38"
"161","186","yellow","2023","54987","6.53"
"237","239","yellow","2023","54968","9.75"
"161","163","yellow","2023","54927","6.36"
"140","237","yellow","2023","54664","7.12"
"237","229","yellow","2023","54504","7.74"
"162","170","yellow","2023","53569","8.34"
"132","48","yellow","2023","53523","20.54"
"186","234","yellow","2023","52779","8.46"
"237","163","yellow","2023","52713","6.98"
"230","138","yellow","2023","52682","20.86"
"68","48","yellow","2023","52303","8.14"
"161","230","yellow","2023","52045","5.15"
"161","142","yellow","2023","51686","7.83"
"142","163","yellow","2023","51642","8.32"
"43","161","yellow","2023","51566","7.59"
"141","141","yellow","2023","50854","13.59"
"229","237","yellow","2023","50822","8.08"
"239","143","yellow","2023","50018","8.87"
"170","234","yellow","2023","49967","8.99"
"237","262","yellow","2023","49938","9.27"
"142","142","yellow","2023","49848","14.24"
"138","161","yellow","2023","49650","17.88"
"170","161","yellow","2023","49249","6.5"
"141","229","yellow","2023","49190","9.5"
"230","142","yellow","2023","48841","8.72"
"132","164","yellow","2023","48696","23.63"
"239","237","yellow","2023","48498","9.5"
"263","237","yellow","2023","48167","9.27"
"48","142","yellow","2023","47690","10.19"
"234","161","yellow","2023","47471","7.65"
"140","263","yellow","2023","47224","11.38"
"170","237","yellow","2023","47129","8.57"
"142","230","yellow","2023","47028","7.99"
"162","161","yellow","2023","47004","5.58"
"48","48","yellow","2023","46692","18.04"
"74","75","green","2024","23436","9.78"
"75","74","green","2024","16196","12.85"
"74","236","green","2024","16152","10.25"
"74","166","green","2024","10424","8.88"
"95","95","green","2024","9108","10.14"
"74","41","green","2024","8895","8.68"
"74","238","green","2024","8629","10.56"
"74","263","green","2024","8213","11.27"
"82","138","green","2024","7786","19.6"
"75","236","green","2024","7246","9.12"
"74","42","green","2024","7026","9.51"
"74","74","green","2024","6807","17.91"
"75","75","green","2024","6043","19.31"
"74","151","green","2024","5905","9.82"
"75","238","green","2024","5360","10.6"
"74","239","green","2024","5324","10.99"
"74","43","green","2024","5080","9.42"
"75","263","green","2024","4763","9.1"
"82","129","green","2024","4369","8.82"
"74","262","green","2024","4346","10.95"
"43","236","green","2024","4170","9.47"
"75","41","green","2024","4136","11.41"
"41","42","green","2024","3677","10.4"
"166","238","green","2024","3651","10.58"
"74","140","green","2024","3598","12.49"
"75","237","green","2024","3403","9.22"
"43","238","green","2024","3313","11.47"
"41","74","green","2024","3268","8.3"
"74","237","green","2024","3119","10.03"
"74","141","green","2024","3101","11.67"
"74","152","green","2024","3040","8.48"
"82","82","green","2024","3017","37.12"
"74","244","green","2024","2935","11.91"
"129","129","green","2024","2929","15.51"
"74","138","green","2024","2927","26.31"
"41","41","green","2024","2914","20.44"
"75","262","green","2024","2849","8.79"
"74","116","green","2024","2830","9.76"
"97","49","green","2024","2825","7.46"
"75","42","green","2024","2796","12.25"
"166","166","green","2024","2768","23.73"
"74","24","green","2024","2760","9.39"
"75","239","green","2024","2576","10.96"
"166","239","green","2024","2529","10.84"
"75","141","green","2024","2523","9.56"
"75","151","green","2024","2521","10.39"
"75","166","green","2024","2396","10.04"
"7","7","green","2024","2312","11.94"
"97","97","green","2024","2196","9.0"
"166","151","green","2024","2187","10.62"
"95","28","green","2024","2156","11.53"
"95","135","green","2024","2118","11.11"
"43","237","green","2024","2098","9.18"
"97","181","green","2024","2095","7.72"
"65","49","green","2024","2070","7.48"
"75","142","green","2024","2036","10.75"
"42","42","green","2024","2010","26.27"
"43","239","green","2024","1999","11.64"
"95","134","green","2024","1948","9.09"
"95","196","green","2024","1948","8.92"
"41","166","green","2024","1910","9.25"
"95","121","green","2024","1894","11.52"
"166","41","green","2024","1865","8.85"
"74","142","green","2024","1814","10.99"
"41","75","green","2024","1771","9.52"
"65","97","green","2024","1740","7.08"
"166","74","green","2024","1723","8.23"
"43","263","green","2024","1706","8.7"
"75","140","green","2024","1668","9.66"
"42","41","green","2024","1650","9.94"
"43","43","green","2024","1604","17.63"
"97","61","green","2024","1579","8.89"
"65","181","green","2024","1578","7.81"
"166","142","green","2024","1529","10.87"
"75","43","green","2024","1521","10.05"
"7","179","green","2024","1500","8.98"
"134","134","green","2024","1498","10.02"
"223","223","green","2024","1495","20.52"
"130","130","green","2024","1465","32.98"
"43","142","green","2024","1453","10.85"
"43","262","green","2024","1309","8.8"
"260","7","green","2024","1290","9.93"
"82","56","green","2024","1235","8.15"
"166","236","green","2024","1234","10.46"
"43","141","green","2024","1228","9.25"
"75","162","green","2024","1193","9.03"
"43","151","green","2024","1192","11.71"
"166","42","green","2024","1187","9.63"
"97","17","green","2024","1179","8.1"
"7","223","green","2024","1166","8.94"
"75","161","green","2024","1147","8.57"
"95","102","green","2024","1135","10.02"
"82","83","green","2024","1129","9.0"
"260","138","green","2024","1116","18.7"
"130","215","green","2024","1098","10.35"
"74","243","green","2024","1087","15.33"
"41","238","green","2024","1065","10.59"
"130","10","green","2024","1064","12.03"
"65","61","green","2024","1064","8.86"
"97","189","green","2024","1056","7.34"
"237","236","yellow","2024","275722","9.66"
"236","237","yellow","2024","237584","8.43"
"237","237","yellow","2024","180952","8.61"
"236","236","yellow","2024","177581","9.82"
"161","237","yellow","2024","129653","7.4"
"237","161","yellow","2024","114843","6.91"
"161","236","yellow","2024","108136","9.47"
"237","162","yellow","2024","105297","7.64"
"239","142","yellow","2024","103479","9.32"
"142","239","yellow","2024","103240","10.18"
"239","238","yellow","2024","97825","10.55"
"132","230","yellow","2024","91079","19.59"
"141","236","yellow","2024","89897","9.26"
"236","161","yellow","2024","89881","8.78"
"186","230","yellow","2024","83955","5.39"
"162","237","yellow","2024","83601","7.61"
"238","239","yellow","2024","83343","9.95"
"236","141","yellow","2024","82926","8.29"
"138","230","yellow","2024","81168","16.14"
"237","141","yellow","2024","80951","7.68"
"132","265","yellow","2024","80770","30.18"
"236","239","yellow","2024","79497","10.25"
"142","238","yellow","2024","78693","11.79"
"263","236","yellow","2024","76005","8.47"
"142","237","yellow","2024","75811","8.69"
"161","234","yellow","2024","75031","7.82"
"237","142","yellow","2024","74863","8.09"
"236","162","yellow","2024","74723","9.23"
"161","164","yellow","2024","74609","6.69"
"239","236","yellow","2024","74531","9.96"
"237","263","yellow","2024","74340","9.98"
"186","161","yellow","2024","74017","6.17"
"141","237","yellow","2024","72551","7.28"
"236","238","yellow","2024","72134","10.15"
"142","236","yellow","2024","71117","10.69"
"48","68","yellow","2024","70892","10.15"
"162","236","yellow","2024","70138","9.41"
"263","141","yellow","2024","70081","11.3"
"140","236","yellow","2024","69520","8.63"
"262","236","yellow","2024","69161","8.23"
"163","236","yellow","2024","68375","9.61"
"236","142","yellow","2024","67969","10.07"
"230","186","yellow","2024","67196","6.59"
"163","237","yellow","2024","67187","7.52"
"237","140","yellow","2024","66569","7.14"
"107","170","yellow","2024","66431","9.02"
"234","170","yellow","2024","66122","7.75"
"161","161","yellow","2024","66028","9.53"
"236","263","yellow","2024","64889","8.25"
"239","239","yellow","2024","64299","10.9"
"236","262","yellow","2024","64120","7.81"
"264","264","yellow","2024","63486","21.52"
"186","170","yellow","2024","63355","5.75"
"238","142","yellow","2024","62143","10.42"
"236","140","yellow","2024","60948","8.12"
"163","161","yellow","2024","60927","6.15"
"161","163","yellow","2024","60905","5.92"
"236","75","yellow","2024","60828","10.5"
"161","230","yellow","2024","60275","4.88"
"238","236","yellow","2024","59933","9.94"
"162","141","yellow","2024","59635","8.9"
"142","161","yellow","2024","59299","7.66"
"140","237","yellow","2024","59021","6.95"
"161","170","yellow","2024","59018","6.57"
"161","186","yellow","2024","58833","6.13"
"141","263","yellow","2024","58741","11.58"
"237","239","yellow","2024","58705","9.59"
"161","141","yellow","2024","58543","8.05"
"237","163","yellow","2024","58172","6.64"
"142","48","yellow","2024","57869","8.77"
"237","229","yellow","2024","57681","7.52"
"164","161","yellow","2024","57648","6.6"
"186","234","yellow","2024","57065","8.12"
"162","170","yellow","2024","56129","7.47"
"230","138","yellow","2024","55359","20.67"
"68","48","yellow","2024","55289","7.43"
"161","142","yellow","2024","54965","7.46"
"142","163","yellow","2024","54870","7.87"
"239","143","yellow","2024","54002","8.82"
"142","142","yellow","2024","53441","11.26"
"141","141","yellow","2024","53286","12.42"
"237","262","yellow","2024","52947","9.0"
"230","142","yellow","2024","52482","8.3"
"170","234","yellow","2024","52465","8.54"
"263","237","yellow","2024","52149","8.99"
"142","230","yellow","2024","51583","7.54"
"229","237","yellow","2024","51403","7.34"
"230","161","yellow","2024","51301","5.81"
"239","237","yellow","2024","50822","9.1"
"230","68","yellow","2024","50453","7.59"
"141","229","yellow","2024","50405","9.22"
"68","230","yellow","2024","50143","5.99"
"43","161","yellow","2024","50086","7.04"
"249","79","yellow","2024","49976","7.21"
"236","163","yellow","2024","49817","8.35"
"68","68","yellow","2024","49527","14.85"
"138","161","yellow","2024","49433","17.15"
"246","48","yellow","2024","49415","8.1"
"170","161","yellow","2024","49290","5.95"
"163","142","yellow","2024","49108","7.61"
