"ano","tipo_taxi","dia_semana","hora","volume","tarifa_media","distancia_media"
"2022","yellow","wednesday","5","35445","20.85","35.77"
"2022","green","wednesday","5","588","21.07","429.0"
"2022","green","wednesday","6","2256","15.39","296.63"
"2022","yellow","wednesday","6","106290","15.84","14.78"
"2022","yellow","wednesday","7","209692","14.08","17.49"
"2022","green","wednesday","7","5503","14.38","284.47"
"2022","yellow","wednesday","8","272957","14.05","10.74"
"2022","green","wednesday","8","7371","14.65","84.44"
"2022","yellow","wednesday","9","282505","13.96","6.22"
"2022","green","wednesday","9","7455","14.49","133.22"
"2022","green","wednesday","10","7072","14.78","122.45"
"2022","yellow","wednesday","10","290902","14.17","6.22"
"2022","yellow","wednesday","11","305899","14.39","4.31"
"2022","green","wednesday","11","7211","14.82","28.35"
"2022","yellow","wednesday","12","322922","14.74","3.85"
"2022","green","wednesday","12","6941","15.08","66.58"
"2022","green","wednesday","13","6769","15.41","111.19"
"2022","yellow","wednesday","13","328466","15.27","5.03"
"2022","yellow","wednesday","14","352167","15.68","5.32"
"2022","green","wednesday","14","7527","15.49","100.53"
"2022","yellow","wednesday","15","363930","15.74","5.64"
"2022","green","wednesday","15","8464","15.47","47.06"
"2022","yellow","wednesday","16","360094","15.8","5.67"
"2022","green","wednesday","16","8716","14.84","66.57"
"2022","yellow","wednesday","17","401303","14.85","5.46"
"2022","green","wednesday","17","9457","14.0","51.37"
"2022","yellow","wednesday","18","426989","13.65","4.23"
"2022","green","wednesday","18","9094","13.23","27.07"
"2022","yellow","wednesday","19","387936","13.24","4.27"
"2022","green","wednesday","19","7368","13.02","16.74"
"2022","green","wednesday","20","5446","13.16","52.81"
"2022","yellow","wednesday","20","339826","13.55","4.53"
"2022","green","wednesday","21","4119","14.2","28.69"
"2022","yellow","wednesday","21","330439","13.94","4.54"
"2022","yellow","wednesday","22","295053","14.66","5.16"
"2022","green","wednesday","22","3502","15.36","67.66"
"2022","green","wednesday","23","2644","15.3","67.14"
"2022","yellow","wednesday","23","220636","15.42","5.31"
"2022","yellow","thursday","0","129725","15.49","5.87"
"2022","green","thursday","0","1609","16.02","59.33"
"2022","green","thursday","1","939","15.81","62.77"
"2022","yellow","thursday","1","65454","14.8","4.05"
"2022","yellow","thursday","2","35403","14.43","12.71"
"2022","green","thursday","2","524","17.45","3.77"
"2022","green","thursday","3","394","18.03","55.6"
"2022","yellow","thursday","3","20855","16.16","17.1"
"2022","yellow","thursday","4","19293","21.88","28.62"
"2022","green","thursday","4","430","21.98","7.33"
"2022","yellow","thursday","5","37240","20.99","34.8"
"2022","green","thursday","5","622","21.83","613.66"
"2022","green","thursday","6","2338","15.47","250.52"
"2022","yellow","thursday","6","106826","16.13","12.8"
"2022","green","thursday","7","5462","14.54","244.82"
"2022","yellow","thursday","7","208968","14.31","11.43"
"2022","green","thursday","8","7256","14.72","190.25"
"2022","yellow","thursday","8","267804","14.26","10.22"
"2022","yellow","thursday","9","279212","14.0","5.67"
"2022","green","thursday","9","7304","14.66","30.33"
"2022","green","thursday","10","7052","15.05","118.99"
"2022","yellow","thursday","10","290077","14.2","3.08"
"2022","yellow","thursday","11","306566","14.56","4.01"
"2022","green","thursday","11","6934","15.26","55.22"
